"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SOX9",1.48213815074452,7.40680857581877,4.02665345583481,0.000547193901562125,0.00987602961487832,-0.247886825763813
"CDC20",1.76375743388667,6.47360592850947,4.0225384318693,0.000552759880722136,0.00992886525026704,-0.257467685165256
"KRT80",1.44179078529193,6.21785517872281,4.02162554208431,0.00055400225317853,0.00992886525026704,-0.259592969648265
"CLDN2",1.47079112378932,6.34952415795529,4.0145386859391,0.000563741682218724,0.0100326575008348,-0.276089732557063
"PLPP4",1.43514640116898,5.29594062575536,3.9899370802374,0.000598889254515229,0.0104407720376177,-0.333328564934158
"NMU",1.34269187907721,5.79592777860002,3.96959095999005,0.000629593185392309,0.0107636000093674,-0.380631436468142
"REEP6",1.20365152187024,6.87010525510168,3.96240553283134,0.000640805464114316,0.0108570905910825,-0.397329030359215
"FRK",1.12769745683033,6.00909500665519,3.95817239498763,0.000647503372694298,0.0109524392801109,-0.40716408764733
"C1orf53",1.1776051016439,6.65733894043292,3.94896341336763,0.00066231499931555,0.0111111484352388,-0.428554658408044
"THY1",1.39389665805916,8.16804113257578,3.9315164310913,0.000691303251126715,0.0113557619323752,-0.469060801843626
"COL6A3",1.12154253052138,11.8924881451516,3.86800065938762,0.000807851890432666,0.0125165061631229,-0.616293119666212
"GPX8",1.30561783468171,7.09941277504441,3.86052459376659,0.00082278961003082,0.0126616804124066,-0.633597798988383
"SCG5",1.65607331497714,5.5488690410346,3.83173291796373,0.000882912419465301,0.0131901959775156,-0.700188594442168
"GLB1L2",1.05744352931809,7.46060450424779,3.82362291816255,0.000900617968911807,0.0133240560310049,-0.718930306409937
"GJB2",2.66332456901399,6.10255267107682,3.80614623381467,0.000939973807702259,0.0137025953862124,-0.759293957004102
"TAPT1-AS1",1.40084998405859,5.42713013145335,3.76840113796608,0.00103085883739774,0.0144362324666384,-0.846353473247238
"H4C12",1.08482422917932,7.31551512502124,3.76154293355966,0.00104827944813749,0.014593912365662,-0.862154461364976
"GFRA3",1.118719489214,6.24874492143588,3.76019012690293,0.00105174986413752,0.0145940098096967,-0.865270612663145
"LINC01614",2.27245819161444,5.30853116533461,3.71740299255937,0.00116755540907205,0.0155879690524968,-0.96371542313828
"ARSL",1.86302271943027,7.32835165269434,3.71649276873048,0.00117015077451811,0.0155921067070717,-0.96580720871559
"TMT1B",1.32778341578533,6.48873903365506,3.69799042774395,0.00122415649092399,0.0160402118436245,-1.00830449458999
"HOOK1",1.18391266466651,6.81590606384222,3.69548818516803,0.00123164611091647,0.016092762398259,-1.0140483997556
"BCL2L15",1.64563025883004,5.40848473279743,3.69353677854,0.00123751828598351,0.0161051930024417,-1.01852729137748
"PCDHGA4",1.16224466838688,5.00019513296299,3.68990858472634,0.00124850961140651,0.016213988716153,-1.02685343636659
"KRT15",1.42450087777678,6.48330833043028,3.65458795557773,0.00136065800177997,0.0171481449029745,-1.10781669585005
"ECM1",1.20117661209939,8.88635870153742,3.64594105744533,0.00138958929839725,0.0173843057275651,-1.1276113742487
"SLC12A8",1.36298553406516,6.6094737651207,3.64136547062675,0.0014051424099224,0.0175058272366702,-1.13808166728299
"PDGFRL",1.39702328454091,7.03836743438228,3.63814362931193,0.00141619648486509,0.0175780106861028,-1.14545241420384
"CST1",2.24951719744465,5.5542865414238,3.61690903566442,0.00149122012259131,0.0181132357561284,-1.19399447972042
"ZWINT",1.2500916301311,8.19508256325338,3.60094542690894,0.00155017887176831,0.0185236327228591,-1.23044372943232
"CST4",1.14966117218697,6.99027166548999,3.57938189785213,0.00163346724024051,0.0190714055938406,-1.27961834991216
"UHRF1",1.58041928119916,6.39478317810092,3.56899963863206,0.0016751192992654,0.0193589309418775,-1.30326915293816
"CD1A",1.21435611269786,6.5319730311903,3.56729816897744,0.00168204398899371,0.0194163165737802,-1.3071435016363
"HS6ST2",1.99553369108542,5.49849359370591,3.56528018468617,0.00169029324387462,0.0194573857268739,-1.31173798471144
"H1-2",1.07338637788203,8.93586816710978,3.56483455909475,0.00169212024463819,0.0194674677048959,-1.31275248478792
"MB",1.14559231671994,6.05008702850322,3.5281615446787,0.00184930071810839,0.0206688227301073,-1.39613256030877
"GREM1",2.83764314219525,5.9940363160392,3.51906862759948,0.00189043501552041,0.0209489550091335,-1.4167723570667
"C6orf141",1.14125322563322,6.30061310199057,3.49455839967897,0.00200582798326522,0.0217789290893842,-1.47233831978604
"EEF1A2",1.03488039217647,6.38571543928118,3.49139664794342,0.00202120649331426,0.0218410296841809,-1.47949870697273
