"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CAV2",-1.48875917514336,8.75632034459535,-3.77417119592699,0.00101642372192029,0.0143168325826672,-0.833055272437561
"TMEM71",-1.60621306127956,7.15505945260081,-3.76960706148217,0.00102782532063565,0.0144085622174313,-0.843574511924976
"SEMA3G",-1.52987342205157,7.19031160279205,-3.75569461017197,0.00106336401758359,0.0146492714636111,-0.87562434987611
"CLDN5",-1.47802407774902,9.365134248976,-3.75452707407781,0.00106640097789985,0.0146778942936626,-0.878312938588997
"ALKAL2",-2.33019831144536,7.27556559300044,-3.73451494414092,0.00111980563414443,0.0151932337184679,-0.924371106113328
"GGTA1",-1.17969603045308,9.20770468474068,-3.72979515379956,0.00113278025329719,0.0152831993699628,-0.93522663317037
"LYZ",-1.98866945605216,10.752889642782,-3.72331881033404,0.00115082503091046,0.0154620872109227,-0.950117734324175
"GZMB",-1.42696511877579,8.52963028669384,-3.7136599270734,0.0011782646193449,0.0156696179104173,-0.972316690690135
"PRKAR2B",-1.34011110687235,8.30107838460664,-3.71220035401932,0.00118246674830703,0.0156883319721824,-0.975670191439066
"CD34",-1.09946660901371,8.31319131232407,-3.70635603028979,0.00119944103178163,0.0158380384499836,-0.989095325620455
"ATP6V1B2",-1.02385793040705,10.2438665492715,-3.69871862849463,0.00122198530456265,0.0160402118436245,-1.00663275428594
"KLB",-1.16874439829463,4.7203085655588,-3.69523440067352,0.00123240824471152,0.016092762398259,-1.01463091713221
"CSF2RB",-1.39718773721177,9.07580524329477,-3.69421684341511,0.00123546871132412,0.0161051930024417,-1.01696645503016
"MPP1",-1.00472526479793,9.07050096438575,-3.67896255194017,0.00128225534933043,0.0165263981327116,-1.05196233712794
"TIMP3",-1.27472386306482,10.4186374906422,-3.67828528757193,0.00128437254177977,0.016532863404155,-1.05351537642214
"CMTM2",-1.7261205338901,6.79643308885408,-3.67719615373789,0.00128778449407868,0.0165557199481176,-1.05601274717613
"CLIC3",-1.61090117259167,8.55787473849664,-3.67579355121075,0.00129219159915841,0.0165709808646461,-1.05922866302458
"RAPGEF4",-1.43788388493916,5.7163446792345,-3.67536627075092,0.00129353710029517,0.0165778483605142,-1.06020828781497
"PLEKHH2",-1.13091414230001,6.44311610656366,-3.67467421789244,0.00129571929200564,0.0165954234977969,-1.06179490339848
"NHERF2",-1.30855133961426,5.93354138223629,-3.6534339246503,0.00136448469880264,0.0171752203753958,-1.11045913334618
"VKORC1L1",-1.02051450807653,7.22608877833887,-3.64774298424554,0.00138351083945882,0.0173400590025742,-1.12348722483064
"LINC00968",-1.60478492639307,6.03848343701657,-3.64292339970126,0.00139982765347683,0.0174803371468641,-1.13451699753198
"TLR1",-1.50862230656005,7.19754410148094,-3.63843961330488,0.00141517741391839,0.0175780106861028,-1.14477534018265
"EML1",-1.30133780170153,6.93979951556475,-3.63133847979299,0.00143982652330271,0.0177523671400221,-1.16101599178108
"SLC6A4",-2.54611012952168,6.46796310993353,-3.62272032308339,0.00147030872724561,0.0179337358286865,-1.18071641960644
"F3",-1.00085740327595,9.01071139092817,-3.61883988035079,0.00148423994255061,0.0180606057694313,-1.18958328963922
"GSAP",-1.02749058876348,9.28234381758467,-3.60888152689819,0.00152058764224899,0.0183502953621588,-1.2123281795404
"SGPP1",-1.2557068208096,8.07010615858464,-3.60498092969503,0.00153506176287323,0.0184466733241346,-1.22123315409143
